code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
hi,Hindi,wiktionary,https://en.wiktionary.org/wiki/Category:Hindi_language,Q1568,inc-hnd,Hindustani,inc-hiw,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ohi"",""hi-mid""]","[""Deva"",""Kthi"",""Newa""]",,[],missing,,,{}
hi-mid,Middle Hindi,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Middle_Hindi_by_language,,,,,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ohi""]",[],,[],missing,,,{}
hif,Fiji Hindi,wiktionary,https://en.wiktionary.org/wiki/Category:Fiji_Hindi_language,Q46728,inc-hie,Eastern Hindi,inc-cen,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-oaw"",""awa""]","[""Latn""]",,[],missing,,,{}
hil,Hiligaynon,wiktionary,https://en.wiktionary.org/wiki/Category:Hiligaynon_language,Q35978,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Latn""]",,[],missing,,,{}
hit,Hittite,wiktionary,https://en.wiktionary.org/wiki/Category:Hittite_language,Q35668,ine-ana,Anatolian,ine,"[""ine-pro"",""ine-ana-pro""]","[""Xsux"",""Latn""]",,[],missing,,,{}
hlb,Halbi,wiktionary,https://en.wiktionary.org/wiki/Category:Halbi_language,Q3695692,inc-hal,Halbic,inc-eas,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-aav""]","[""Deva"",""Orya""]",,[],missing,,,{}
hmn-pro,Proto-Hmongic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Hmongic_language,,,,,"[""hmx-pro""]",[],,[],missing,,,{}
hmx-mie-pro,Proto-Mienic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Mienic_language,,,,,"[""hmx-pro""]",[],,[],missing,,,{}
hmx-pro,Proto-Hmong-Mien,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Hmong-Mien_language,,,,,[],[],,[],missing,,,{}
hnn,Hanunoo,wiktionary,https://en.wiktionary.org/wiki/Category:Hanunoo_language,Q35435,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Hano"",""Latn""]",,[],missing,,,{}
hns,Caribbean Hindustani,wiktionary,https://en.wiktionary.org/wiki/Category:Caribbean_Hindustani_language,Q1843468,inc,Indo-Aryan,iir,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-aav"",""bho"",""inc-oaw"",""awa""]",[],,[],missing,,,{}
hop,Hopi,wiktionary,https://en.wiktionary.org/wiki/Category:Hopi_language,Q56421,azc,Uto-Aztecan,,"[""azc-pro""]","[""Latn""]",,[],missing,,,{}
hrx,Hunsrik,wiktionary,https://en.wiktionary.org/wiki/Category:Hunsrik_language,Q304049,gmw-hgm,High German,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-cfr""]","[""Latn""]",,[],missing,,,{}
hsb,Upper Sorbian,wiktionary,https://en.wiktionary.org/wiki/Category:Upper_Sorbian_language,Q13248,wen,Sorbian,zlw,"[""ine-pro"",""ine-bsl-pro"",""sla-pro""]","[""Latn""]",,[],missing,,,{}
hss,Harsusi,wiktionary,https://en.wiktionary.org/wiki/Category:Harsusi_language,Q33423,sem-sar,Modern South Arabian,sem-wes,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Arab"",""Latn""]",,[],missing,,,{}
ht,Haitian Creole,wiktionary,https://en.wiktionary.org/wiki/Category:Haitian_Creole_language,Q33491,crp,creole or pidgin,qfa-cnt,"[""ine-pro"",""itc-pro"",""itc-ola"",""la"",""fro"",""frm"",""fr"",""ht-sdm""]","[""Latn""]",,[],missing,,,{}
ht-sdm,Saint Dominican Creole French,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Saint_Dominican_Creole_French_by_language,,,,,"[""ine-pro"",""itc-pro"",""itc-ola"",""la"",""fro"",""frm"",""fr""]",[],,[],missing,,,{}
hu,Hungarian,wiktionary,https://en.wiktionary.org/wiki/Category:Hungarian_language,Q9067,urj-ugr,Ugric,urj,"[""urj-pro"",""urj-ugr-pro"",""ohu""]","[""Latn"",""Hung""]",,[],missing,,,{}
huu,Murui Huitoto,wiktionary,https://en.wiktionary.org/wiki/Category:Murui_Huitoto_language,Q2640935,sai-wit,Witotoan,,"[""sai-wit-pro""]","[""Latn""]",,[],missing,,,{}
huv,Huave,wiktionary,https://en.wiktionary.org/wiki/Category:Huave_language,Q12954031,qfa-iso,isolate,qfa-not,[],"[""Latn""]",,[],missing,,,{}
